dataset,size
dataset_001_n100.txt,100
dataset_002_n233.txt,233
dataset_003_n367.txt,367
dataset_004_n501.txt,501
dataset_005_n635.txt,635
dataset_006_n768.txt,768
dataset_007_n902.txt,902
dataset_008_n1036.txt,1036
dataset_009_n1170.txt,1170
dataset_010_n1304.txt,1304
dataset_011_n1437.txt,1437
dataset_012_n1571.txt,1571
dataset_013_n1705.txt,1705
dataset_014_n1839.txt,1839
dataset_015_n1972.txt,1972
dataset_016_n2106.txt,2106
dataset_017_n2240.txt,2240
dataset_018_n2374.txt,2374
dataset_019_n2508.txt,2508
dataset_020_n2641.txt,2641
dataset_021_n2775.txt,2775
dataset_022_n2909.txt,2909
dataset_023_n3043.txt,3043
dataset_024_n3177.txt,3177
dataset_025_n3310.txt,3310
dataset_026_n3444.txt,3444
dataset_027_n3578.txt,3578
dataset_028_n3712.txt,3712
dataset_029_n3845.txt,3845
dataset_030_n3979.txt,3979
dataset_031_n4113.txt,4113
dataset_032_n4247.txt,4247
dataset_033_n4381.txt,4381
dataset_034_n4514.txt,4514
dataset_035_n4648.txt,4648
dataset_036_n4782.txt,4782
dataset_037_n4916.txt,4916
dataset_038_n5050.txt,5050
dataset_039_n5183.txt,5183
dataset_040_n5317.txt,5317
dataset_041_n5451.txt,5451
dataset_042_n5585.txt,5585
dataset_043_n5718.txt,5718
dataset_044_n5852.txt,5852
dataset_045_n5986.txt,5986
dataset_046_n6120.txt,6120
dataset_047_n6254.txt,6254
dataset_048_n6387.txt,6387
dataset_049_n6521.txt,6521
dataset_050_n6655.txt,6655
dataset_051_n6789.txt,6789
dataset_052_n6922.txt,6922
dataset_053_n7056.txt,7056
dataset_054_n7190.txt,7190
dataset_055_n7324.txt,7324
dataset_056_n7458.txt,7458
dataset_057_n7591.txt,7591
dataset_058_n7725.txt,7725
dataset_059_n7859.txt,7859
dataset_060_n7993.txt,7993
dataset_061_n8127.txt,8127
dataset_062_n8260.txt,8260
dataset_063_n8394.txt,8394
dataset_064_n8528.txt,8528
dataset_065_n8662.txt,8662
dataset_066_n8795.txt,8795
dataset_067_n8929.txt,8929
dataset_068_n9063.txt,9063
dataset_069_n9197.txt,9197
dataset_070_n9331.txt,9331
dataset_071_n9464.txt,9464
dataset_072_n9598.txt,9598
dataset_073_n9732.txt,9732
dataset_074_n9866.txt,9866
dataset_075_n10000.txt,10000
